epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19104,1.42867,3.10911,1.52283,0.00494,0.93478,0.36532,0.21745,1.20071,2.91323,1.17897,0.00015003,0.00015003,0.00015003
2,12.2731,1.11783,2.60355,1.31742,0.00478,0.97826,0.43927,0.30461,1.03853,2.6823,1.06193,0.000315162,0.000315162,0.000315162
3,18.4419,1.12969,2.02119,1.30292,0.77823,0.25,0.49086,0.32438,1.17753,2.38778,1.12416,0.000478644,0.000478644,0.000478644
4,24.9208,1.16365,1.73687,1.32542,0.53014,0.5937,0.6415,0.38734,1.36372,2.10334,1.25159,0.000640476,0.000640476,0.000640476
5,32.4203,1.23541,1.52669,1.37155,0.80016,0.62101,0.6713,0.4545,1.45301,1.73126,1.31677,0.000800657,0.000800657,0.000800657
6,39.4911,1.19034,1.47122,1.35399,0.42793,0.47222,0.4597,0.25393,1.2422,2.65013,1.16199,0.000959188,0.000959188,0.000959188
7,45.456,1.10841,1.40141,1.31205,0.63072,0.43768,0.60006,0.36566,1.28902,3.60574,1.23333,0.00111607,0.00111607,0.00111607
8,51.5467,1.11284,1.35744,1.30437,0.38061,0.70942,0.48834,0.31719,1.4824,3.25683,1.47195,0.0012713,0.0012713,0.0012713
9,57.0091,1.11939,1.30465,1.31011,0.532,0.42754,0.47285,0.27407,1.48348,3.00963,1.40209,0.00142488,0.00142488,0.00142488
10,63.4863,1.10516,1.20011,1.281,0.54266,0.46533,0.45633,0.30465,1.18474,2.58465,1.22592,0.00157681,0.00157681,0.00157681
11,69.4246,1.067,1.195,1.26126,0.37886,0.62464,0.45664,0.28254,1.41452,2.71016,1.32459,0.00158448,0.00158448,0.00158448
12,75.7075,1.05904,1.24731,1.26457,0.48625,0.59091,0.48997,0.25428,1.69338,3.80857,1.65011,0.00157623,0.00157623,0.00157623
13,81.6427,1.03167,1.19306,1.23772,0.3987,0.54818,0.50093,0.32713,1.46835,4.1527,1.45722,0.00156798,0.00156798,0.00156798
14,87.718,1.00701,1.14771,1.25023,0.5296,0.52536,0.52232,0.30742,1.93901,3.14617,2.13266,0.00155973,0.00155973,0.00155973
15,93.5059,1.07794,1.18991,1.25898,0.72623,0.64566,0.67402,0.40229,1.47151,2.58315,1.49114,0.00155148,0.00155148,0.00155148
16,99.0815,1.04475,1.20587,1.25157,0.34626,0.44335,0.2762,0.17081,1.39395,3.11474,1.42187,0.00154323,0.00154323,0.00154323
17,105.052,1.04317,1.1553,1.23904,0.48997,0.4303,0.40747,0.22923,1.55395,2.49496,1.49808,0.00153497,0.00153497,0.00153497
18,110.275,1.05581,1.12515,1.23821,0.69165,0.57391,0.50925,0.25883,1.75877,3.02578,1.93751,0.00152672,0.00152672,0.00152672
19,115.331,0.98494,1.12824,1.22977,0.70181,0.57029,0.5327,0.31695,1.62102,3.07339,1.86556,0.00151847,0.00151847,0.00151847
20,120.331,1.02099,1.12973,1.26473,0.68881,0.61087,0.62715,0.3755,1.41403,2.08787,1.52295,0.00151022,0.00151022,0.00151022
21,125.275,0.97045,1.09,1.19743,0.67432,0.40435,0.47663,0.28562,1.21446,2.78327,1.18081,0.00150197,0.00150197,0.00150197
22,130.075,1.0021,1.08527,1.22469,0.94671,0.63925,0.77878,0.50456,1.14672,1.57902,1.12523,0.00149372,0.00149372,0.00149372
23,135.124,1.00923,1.0607,1.21617,0.8265,0.73258,0.82493,0.55048,1.14152,1.47798,1.12814,0.00148546,0.00148546,0.00148546
24,140.159,0.9939,1.04502,1.20434,0.82697,0.8529,0.89357,0.61927,1.07628,1.1703,1.0586,0.00147721,0.00147721,0.00147721
25,145.131,0.91305,1.07188,1.18988,0.7937,0.86568,0.86435,0.59177,1.13388,1.20625,1.11426,0.00146896,0.00146896,0.00146896
26,150.024,1.01256,1.05044,1.23469,0.8158,0.68406,0.69786,0.42852,1.33712,2.19525,1.34142,0.00146071,0.00146071,0.00146071
27,154.653,0.96515,1.04691,1.18972,0.81993,0.62288,0.74833,0.48426,1.19986,1.95432,1.20025,0.00145246,0.00145246,0.00145246
28,159.969,0.94063,1.01535,1.18821,0.58807,0.67693,0.61929,0.40204,1.25581,1.65312,1.2386,0.00144421,0.00144421,0.00144421
29,165.296,0.99697,1.03354,1.24113,0.74041,0.64565,0.6904,0.47015,1.35927,1.67,1.29541,0.00143595,0.00143595,0.00143595
