epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.494,1.49892,3.14159,1.54786,0.00532,0.86041,0.29895,0.18952,1.14926,2.91543,1.18064,0.00015003,0.00015003,0.00015003
2,10.7021,1.24357,2.76884,1.41646,0.00548,0.92563,0.43372,0.28699,1.01645,2.75345,1.07786,0.000306278,0.000306278,0.000306278
3,15.4207,1.24547,2.20606,1.35975,0.56924,0.21071,0.42341,0.29562,1.10629,2.44156,1.07217,0.000451524,0.000451524,0.000451524
4,20.2769,1.2601,1.93149,1.35952,0.63941,0.4405,0.5544,0.30825,1.23103,2.21695,1.11364,0.000585767,0.000585767,0.000585767
5,25.6587,1.27322,1.75286,1.36587,0.55134,0.70919,0.61237,0.37969,1.34644,1.733,1.20071,0.000709008,0.000709008,0.000709008
6,31.0963,1.27666,1.66144,1.3916,0.72023,0.39703,0.5176,0.33508,1.31945,1.69969,1.26089,0.000821248,0.000821248,0.000821248
7,36.2308,1.17834,1.47281,1.3535,0.41635,0.4016,0.3527,0.21078,1.41107,2.257,1.3594,0.000922484,0.000922484,0.000922484
8,41.2876,1.17886,1.47049,1.34102,0.61559,0.56455,0.51243,0.30558,1.37759,2.03064,1.24402,0.00101272,0.00101272,0.00101272
9,46.3465,1.20762,1.4752,1.344,0.52264,0.60352,0.48688,0.30085,1.39516,2.15246,1.25881,0.00109195,0.00109195,0.00109195
10,51.8201,1.1865,1.40231,1.3004,0.30402,0.48341,0.25749,0.17069,1.46326,3.39194,1.35668,0.00116018,0.00116018,0.00116018
11,56.7548,1.12687,1.3725,1.29603,0.46929,0.41362,0.31944,0.22635,1.38429,3.13536,1.41301,0.00111689,0.00111689,0.00111689
12,62.0247,1.12988,1.43054,1.30912,0.6256,0.34328,0.38142,0.24004,1.25943,3.02453,1.2539,0.00106188,0.00106188,0.00106188
13,66.9889,1.08303,1.30735,1.27013,0.44789,0.57609,0.5301,0.33604,1.27852,3.24746,1.26122,0.00100687,0.00100687,0.00100687
14,71.8396,1.04644,1.28881,1.24137,0.66492,0.67728,0.72193,0.46335,1.20912,2.01261,1.16313,0.000951857,0.000951857,0.000951857
15,76.5131,1.08757,1.23313,1.26691,0.53397,0.72883,0.67069,0.43699,1.12911,1.79539,1.1622,0.000896846,0.000896846,0.000896846
16,81.5417,1.04885,1.25752,1.2608,0.27235,0.53146,0.36928,0.25842,1.15934,2.22677,1.19863,0.000841835,0.000841835,0.000841835
17,86.4708,1.07159,1.22531,1.25496,0.66319,0.65106,0.67254,0.4824,1.15912,1.52874,1.1984,0.000786824,0.000786824,0.000786824
18,91.7108,1.01795,1.20858,1.22448,0.6234,0.69302,0.67395,0.46208,1.11773,1.49258,1.11421,0.000731813,0.000731813,0.000731813
19,97.0445,1.07075,1.26172,1.26805,0.78672,0.63372,0.68998,0.47898,1.14877,1.42628,1.1334,0.000676802,0.000676802,0.000676802
20,102.75,1.03584,1.25025,1.263,0.81711,0.72089,0.74942,0.51702,1.18485,1.30316,1.1659,0.000621791,0.000621791,0.000621791
21,108.202,1.02884,1.64388,1.26951,0.71033,0.62453,0.69778,0.49974,1.12987,1.64997,1.14747,0.00056678,0.00056678,0.00056678
22,113.668,0.96594,1.47644,1.22896,0.78555,0.62499,0.72831,0.54556,0.94473,1.50824,1.00498,0.000511769,0.000511769,0.000511769
23,118.376,0.93479,1.4134,1.19682,0.89704,0.64444,0.76634,0.56185,1.00606,1.29626,1.03051,0.000456758,0.000456758,0.000456758
24,123.181,0.91455,1.38137,1.18398,0.82249,0.7082,0.75114,0.54984,1.1217,1.27174,1.11342,0.000401747,0.000401747,0.000401747
25,128.665,0.92188,1.31826,1.19151,0.83201,0.71168,0.75991,0.52418,1.1479,1.33292,1.13647,0.000346736,0.000346736,0.000346736
26,134.421,0.83948,1.23903,1.13918,0.82675,0.73341,0.76778,0.55433,1.06401,1.35855,1.07303,0.000291725,0.000291725,0.000291725
27,139.837,0.8429,1.18549,1.14155,0.89079,0.7278,0.80478,0.58275,1.00392,1.28924,1.04731,0.000236714,0.000236714,0.000236714
28,146.484,0.8529,1.13124,1.15806,0.87501,0.73382,0.81853,0.59065,0.94103,1.23713,1.01493,0.000181703,0.000181703,0.000181703
29,151.441,0.8084,1.12579,1.11082,0.91842,0.73916,0.83126,0.61268,0.93528,1.1885,1.01501,0.000126692,0.000126692,0.000126692
30,156.483,0.85223,1.16904,1.15264,0.92841,0.75515,0.83724,0.61709,0.92351,1.16565,1.00778,7.1681e-05,7.1681e-05,7.1681e-05
